slide,cell_id,cell_type
Slide1,c_1_100_10_1,Undefined
Slide1,c_1_100_1001_1,Undefined
Slide1,c_1_100_1007_1,Undefined
Slide1,c_1_100_101_1,Undefined
Slide1,c_1_100_1011_1,Undefined
Slide1,c_1_100_1014_1,Undefined
Slide1,c_1_100_1016_1,Undefined
Slide1,c_1_100_1018_1,Undefined
Slide1,c_1_100_102_1,Undefined
Slide1,c_1_100_1020_1,Undefined
Slide1,c_1_100_1024_1,Undefined
Slide1,c_1_100_1025_1,Undefined
Slide1,c_1_100_1027_1,Undefined
Slide1,c_1_100_1028_1,Undefined
Slide1,c_1_100_1029_1,Undefined
Slide1,c_1_100_1031_1,Undefined
Slide1,c_1_100_1032_1,Undefined
Slide1,c_1_100_1036_1,Undefined
Slide1,c_1_100_104_1,Cancer cell
Slide1,c_1_100_1041_1,Undefined
Slide1,c_1_100_1047_1,Undefined
Slide1,c_1_100_105_1,Undefined
Slide1,c_1_100_1052_1,Undefined
Slide1,c_1_100_1053_1,Undefined
Slide1,c_1_100_106_1,Undefined
Slide1,c_1_100_1061_1,Undefined
Slide1,c_1_100_1065_1,Undefined
Slide1,c_1_100_107_1,Undefined
Slide1,c_1_100_1079_1,Undefined
Slide1,c_1_100_108_1,Undefined
Slide1,c_1_100_1080_1,Undefined
Slide1,c_1_100_1083_1,Undefined
Slide1,c_1_100_1084_1,Undefined
Slide1,c_1_100_1085_1,Undefined
Slide1,c_1_100_1087_1,Undefined
Slide1,c_1_100_1089_1,Undefined
Slide1,c_1_100_109_1,Undefined
Slide1,c_1_100_1097_1,Undefined
Slide1,c_1_100_11_1,Undefined
Slide1,c_1_100_110_1,Cancer cell
Slide1,c_1_100_1105_1,Undefined
Slide1,c_1_100_1109_1,Undefined
Slide1,c_1_100_111_1,Undefined
Slide1,c_1_100_1110_1,Undefined
Slide1,c_1_100_1112_1,Undefined
Slide1,c_1_100_1114_1,Undefined
Slide1,c_1_100_1116_1,Undefined
Slide1,c_1_100_1118_1,Undefined
Slide1,c_1_100_112_1,Undefined
Slide1,c_1_100_1120_1,Undefined
Slide1,c_1_100_1122_1,Undefined
Slide1,c_1_100_1123_1,Undefined
Slide1,c_1_100_1126_1,Undefined
Slide1,c_1_100_1127_1,Undefined
Slide1,c_1_100_1130_1,Undefined
Slide1,c_1_100_1132_1,Undefined
Slide1,c_1_100_1134_1,Undefined
Slide1,c_1_100_1136_1,Undefined
Slide1,c_1_100_1137_1,Undefined
Slide1,c_1_100_1138_1,Undefined
Slide1,c_1_100_114_1,Undefined
Slide1,c_1_100_1141_1,Undefined
Slide1,c_1_100_1144_1,Undefined
Slide1,c_1_100_1145_1,Undefined
Slide1,c_1_100_1146_1,Undefined
Slide1,c_1_100_1148_1,Undefined
Slide1,c_1_100_115_1,Undefined
Slide1,c_1_100_1154_1,Undefined
Slide1,c_1_100_1155_1,Undefined
Slide1,c_1_100_1157_1,Undefined
Slide1,c_1_100_1158_1,Cancer cell
Slide1,c_1_100_116_1,Cancer cell
Slide1,c_1_100_1160_1,Undefined
Slide1,c_1_100_1161_1,Undefined
Slide1,c_1_100_1163_1,Undefined
Slide1,c_1_100_1166_1,Undefined
Slide1,c_1_100_1167_1,Undefined
Slide1,c_1_100_117_1,Cancer cell
Slide1,c_1_100_1170_1,Undefined
Slide1,c_1_100_1174_1,Undefined
Slide1,c_1_100_1176_1,Undefined
Slide1,c_1_100_1181_1,Undefined
Slide1,c_1_100_1184_1,Undefined
Slide1,c_1_100_1186_1,Undefined
Slide1,c_1_100_119_1,Undefined
Slide1,c_1_100_1190_1,Plasma cell
Slide1,c_1_100_1191_1,Undefined
Slide1,c_1_100_1192_1,Undefined
Slide1,c_1_100_1193_1,Undefined
Slide1,c_1_100_1194_1,Undefined
Slide1,c_1_100_1196_1,Undefined
Slide1,c_1_100_1198_1,Undefined
Slide1,c_1_100_1199_1,Undefined
Slide1,c_1_100_12_1,Cancer cell
Slide1,c_1_100_120_1,Undefined
Slide1,c_1_100_1201_1,Undefined
Slide1,c_1_100_1202_1,Undefined
Slide1,c_1_100_1206_1,Undefined
Slide1,c_1_100_1207_1,Undefined
Slide1,c_1_100_1208_1,Undefined
Slide1,c_1_100_1209_1,Undefined
Slide1,c_1_100_1211_1,Undefined
Slide1,c_1_100_1212_1,Undefined
Slide1,c_1_100_1214_1,Undefined
Slide1,c_1_100_1215_1,Undefined
Slide1,c_1_100_1216_1,Undefined
Slide1,c_1_100_1217_1,Undefined
Slide1,c_1_100_1218_1,Undefined
Slide1,c_1_100_122_1,Undefined
Slide1,c_1_100_1221_1,Undefined
Slide1,c_1_100_1223_1,Undefined
Slide1,c_1_100_1226_1,Undefined
Slide1,c_1_100_1229_1,Undefined
Slide1,c_1_100_1231_1,Undefined
Slide1,c_1_100_1233_1,Undefined
Slide1,c_1_100_1234_1,Undefined
Slide1,c_1_100_1236_1,Undefined
Slide1,c_1_100_1238_1,Undefined
Slide1,c_1_100_1240_1,Undefined
Slide1,c_1_100_1241_1,Undefined
Slide1,c_1_100_1242_1,Undefined
Slide1,c_1_100_1244_1,Undefined
Slide1,c_1_100_1245_1,Undefined
Slide1,c_1_100_1250_1,Undefined
Slide1,c_1_100_1253_1,Undefined
Slide1,c_1_100_1254_1,Undefined
Slide1,c_1_100_1257_1,Undefined
Slide1,c_1_100_1259_1,Undefined
Slide1,c_1_100_1261_1,Undefined
Slide1,c_1_100_1264_1,Undefined
Slide1,c_1_100_1268_1,Undefined
Slide1,c_1_100_1269_1,Undefined
Slide1,c_1_100_127_1,Cancer cell
Slide1,c_1_100_1270_1,Undefined
Slide1,c_1_100_1271_1,Undefined
Slide1,c_1_100_1272_1,Undefined
Slide1,c_1_100_1274_1,Undefined
Slide1,c_1_100_1275_1,Undefined
Slide1,c_1_100_1277_1,Undefined
Slide1,c_1_100_1279_1,Undefined
Slide1,c_1_100_128_1,Undefined
Slide1,c_1_100_1280_1,Undefined
Slide1,c_1_100_1281_1,Undefined
Slide1,c_1_100_1282_1,Undefined
